pair_index,frame1,frame2,num_matches,num_inliers,inlier_ratio
0,1305031452.791720.png,1305031452.823674.png,1580,687,0.43481012658227847
1,1305031452.823674.png,1305031452.859642.png,1627,689,0.42347879532882604
2,1305031452.859642.png,1305031452.891726.png,1552,620,0.39948453608247425
3,1305031452.891726.png,1305031452.923715.png,1586,739,0.46595208070617905
4,1305031452.923715.png,1305031452.959701.png,1739,901,0.5181138585393904
5,1305031452.959701.png,1305031452.991647.png,1629,789,0.4843462246777164
6,1305031452.991647.png,1305031453.023650.png,1511,676,0.44738583719391134
7,1305031453.023650.png,1305031453.059754.png,1684,965,0.5730403800475059
8,1305031453.059754.png,1305031453.091704.png,1667,992,0.5950809838032394
9,1305031453.091704.png,1305031453.123633.png,1668,1065,0.6384892086330936
10,1305031453.123633.png,1305031453.159673.png,1668,1037,0.6217026378896883
11,1305031453.159673.png,1305031453.191726.png,1635,938,0.5737003058103975
12,1305031453.191726.png,1305031453.223689.png,1585,792,0.49968454258675077
13,1305031453.223689.png,1305031453.259670.png,1502,684,0.45539280958721706
14,1305031453.259670.png,1305031453.291696.png,1488,648,0.43548387096774194
15,1305031453.291696.png,1305031453.323682.png,1444,677,0.46883656509695293
16,1305031453.323682.png,1305031453.359684.png,1470,653,0.44421768707482995
17,1305031453.359684.png,1305031453.391690.png,1597,767,0.480275516593613
18,1305031453.391690.png,1305031453.423683.png,1643,877,0.5337796713329276
19,1305031453.423683.png,1305031453.459685.png,1594,806,0.5056461731493099
20,1305031453.459685.png,1305031453.491698.png,1572,799,0.5082697201017812
21,1305031453.491698.png,1305031453.523684.png,1594,832,0.5219573400250941
22,1305031453.523684.png,1305031453.559753.png,1599,791,0.49468417761100686
23,1305031453.559753.png,1305031453.591640.png,1630,856,0.5251533742331288
24,1305031453.591640.png,1305031453.627706.png,1605,737,0.45919003115264795
25,1305031453.627706.png,1305031453.659600.png,1508,689,0.45689655172413796
26,1305031453.659600.png,1305031453.691678.png,1608,741,0.4608208955223881
27,1305031453.691678.png,1305031453.727652.png,1676,863,0.5149164677804295
28,1305031453.727652.png,1305031453.759694.png,1598,737,0.4612015018773467
29,1305031453.759694.png,1305031453.791716.png,1588,797,0.5018891687657431
30,1305031453.791716.png,1305031453.827773.png,1633,850,0.5205143906919779
31,1305031453.827773.png,1305031453.859705.png,1549,789,0.5093608779857973
32,1305031453.859705.png,1305031453.891710.png,1502,690,0.459387483355526
33,1305031453.891710.png,1305031453.927723.png,1469,726,0.494213750850919
34,1305031453.927723.png,1305031453.959641.png,1486,672,0.4522207267833109
35,1305031453.959641.png,1305031453.991624.png,1555,665,0.42765273311897106
36,1305031453.991624.png,1305031454.027662.png,1648,795,0.4824029126213592
37,1305031454.027662.png,1305031454.059654.png,1697,826,0.48674130819092515
38,1305031454.059654.png,1305031454.091651.png,1682,722,0.4292508917954816
39,1305031454.091651.png,1305031454.127701.png,1734,829,0.47808535178777395
40,1305031454.127701.png,1305031454.159672.png,1808,798,0.4413716814159292
41,1305031454.159672.png,1305031454.191658.png,1853,852,0.45979492714517
42,1305031454.191658.png,1305031454.227671.png,1819,682,0.3749312809235844
43,1305031454.227671.png,1305031454.259627.png,1994,799,0.40070210631895686
44,1305031454.259627.png,1305031454.291639.png,2145,1054,0.4913752913752914
45,1305031454.291639.png,1305031454.327699.png,1984,745,0.3755040322580645
46,1305031454.327699.png,1305031454.359636.png,2029,922,0.4544110399211434
47,1305031454.359636.png,1305031454.391677.png,2188,1000,0.4570383912248629
48,1305031454.391677.png,1305031454.427465.png,2215,1056,0.4767494356659142
49,1305031454.427465.png,1305031454.459913.png,2265,1044,0.4609271523178808
50,1305031454.459913.png,1305031454.491617.png,2451,1199,0.48918808649530804
51,1305031454.491617.png,1305031454.527700.png,2410,1136,0.4713692946058091
52,1305031454.527700.png,1305031454.559575.png,2353,1084,0.4606884827879303
53,1305031454.559575.png,1305031454.591635.png,2263,1009,0.445868316394167
54,1305031454.591635.png,1305031454.627580.png,2356,1029,0.4367572156196944
55,1305031454.627580.png,1305031454.659528.png,2327,1089,0.4679845294370434
56,1305031454.659528.png,1305031454.691884.png,2201,1006,0.4570649704679691
57,1305031454.691884.png,1305031454.727659.png,2241,1033,0.4609549308344489
58,1305031454.727659.png,1305031454.759732.png,2268,1120,0.49382716049382713
59,1305031454.759732.png,1305031454.791641.png,2386,1256,0.5264040234702431
60,1305031454.791641.png,1305031454.827570.png,2296,1143,0.49782229965156793
61,1305031454.827570.png,1305031454.859620.png,2185,1074,0.49153318077803204
62,1305031454.859620.png,1305031454.891764.png,2073,1042,0.502653159671973
63,1305031454.891764.png,1305031454.927567.png,2014,1056,0.5243296921549155
64,1305031454.927567.png,1305031454.959648.png,2047,1082,0.5285784074255008
65,1305031454.959648.png,1305031454.991937.png,2119,1153,0.5441245870693724
66,1305031454.991937.png,1305031455.027799.png,2231,1214,0.5441506051098163
67,1305031455.027799.png,1305031455.059636.png,2295,1268,0.5525054466230936
68,1305031455.059636.png,1305031455.091700.png,2510,1601,0.6378486055776893
69,1305031455.091700.png,1305031455.127695.png,2327,1252,0.538031800601633
