Algorithm,Matcher,Avg Matches,Avg Inliers,Avg Inlier Ratio
SIFT,FLANN,482.98692810457516,453.2042483660131,0.9265891794824646
ORB,BFMatcher(Hamming),793.5359477124183,779.2026143790849,0.9781270974005002
SuperPoint+SuperGlue,SuperGlue,495.8071895424837,459.77287581699346,0.9213140419155289
DISK+LightGlue,LightGlue,1482.673202614379,1456.1552287581699,0.9805349134880055
